OrderID,OrderDate,CustomerID,Region,CustomerSegment,ProductCategory,Product,Quantity,UnitPrice,Revenue,Cost,Profit,ProjectID,ResourceID,ResourceRole,HoursWorked,BillRate,BillAmount,InvoiceStatus,PaymentDate,PO_Created,PONumber,CreditNote,DebitNote
ORD000001,2023-04-13,CUST01379,North,Mid-Market,Electronics,Mouse,2,418.32,836.64,518.04,318.6,PRJ0328,RES00837,Developer,4.75,206.11,979.02,Submitted,2023-05-13,False,,0.0,0.0
ORD000002,2024-03-11,CUST00630,Central,SMB,Software,Antivirus,5,1203.32,6016.6,2447.72,3568.8800000000006,PRJ0431,RES01196,Analyst,3.87,134.08,518.89,Draft,,False,,120.33,0.0
ORD000003,2023-09-28,CUST01423,Central,Mid-Market,Software,Antivirus,1,1300.2,1300.2,610.68,689.5200000000001,PRJ0355,RES00497,Consultant,1.07,30.55,32.69,Paid,2023-12-27,True,PO66908,0.0,0.0
ORD000004,2023-04-17,CUST00362,West,Mid-Market,Office Supplies,Pen,2,2211.74,4423.48,3509.98,913.4999999999995,PRJ0346,RES01127,Developer,3.04,173.49,527.41,Submitted,2023-05-17,True,PO45225,0.0,0.0
ORD000005,2023-03-13,CUST01404,East,Mid-Market,Services,Support,1,1658.09,1658.09,1054.33,603.76,PRJ0214,RES01039,Analyst,1.19,199.03,236.85,Paid,2023-04-12,False,,0.0,0.0
ORD000006,2024-12-01,CUST01664,Central,SMB,Office Supplies,Stapler,3,1426.85,4280.55,3321.74,958.8100000000004,PRJ0210,RES00743,Analyst,12.02,21.65,260.23,Draft,,False,,0.0,0.0
ORD000007,2023-01-21,CUST00940,North,SMB,Software,CRM License,4,1731.03,6924.12,4414.97,2509.1499999999996,PRJ0253,RES00295,Consultant,7.44,75.62,562.61,Paid,2023-01-28,False,,0.0,0.0
ORD000008,2024-09-06,CUST00299,North,SMB,Services,Consulting,5,1943.51,9717.55,6387.87,3329.6799999999994,PRJ0447,RES00109,Developer,1.65,127.74,210.77,Paid,2024-11-05,False,,0.0,0.0
ORD000009,2023-05-02,CUST00442,Central,SMB,Furniture,Cabinet,3,1058.88,3176.64,1517.03,1659.61,PRJ0466,RES00839,Analyst,13.13,119.74,1572.19,Submitted,2023-06-01,False,,0.0,0.0
ORD000010,2024-04-11,CUST01943,Central,Enterprise,Office Supplies,Stapler,6,2270.51,13623.06,6261.95,7361.11,PRJ0320,RES00351,Consultant,2.54,244.46,620.93,Submitted,2024-05-26,False,,0.0,0.0
ORD000011,2023-08-03,CUST01912,Central,Mid-Market,Services,Support,3,867.06,2601.18,1807.91,793.2699999999998,PRJ0412,RES00735,Tester,2.65,234.76,622.11,Submitted,2023-09-02,False,,0.0,0.0
ORD000012,2023-11-27,CUST00659,Central,SMB,Software,Antivirus,4,1901.22,7604.88,4448.24,3156.6400000000003,PRJ0092,RES01015,Analyst,3.89,129.98,505.62,Overdue,2023-12-27,True,PO70306,0.0,0.0
ORD000013,2024-04-03,CUST01734,North,Mid-Market,Software,CRM License,6,934.98,5609.88,2498.79,3111.09,PRJ0173,RES01180,Tester,6.29,142.94,899.09,Cancelled,,False,,0.0,280.49
ORD000014,2023-03-29,CUST00925,North,SMB,Services,Support,5,2583.31,12916.55,8610.89,4305.66,PRJ0089,RES00433,PM,2.47,221.54,547.2,Submitted,2023-04-05,False,,645.83,0.0
ORD000015,2024-01-08,CUST01170,South,Mid-Market,Services,Implementation,4,379.19,1516.76,1129.64,387.1199999999999,PRJ0008,RES00550,PM,15.72,103.71,1630.32,Overdue,2024-01-15,True,PO23117,0.0,0.0
ORD000016,2023-04-10,CUST01358,Central,SMB,Services,Implementation,5,1185.05,5925.25,4885.95,1039.3000000000002,PRJ0482,RES01047,Tester,2.55,156.3,398.56,Submitted,2023-04-17,False,,0.0,0.0
ORD000017,2024-10-25,CUST01892,East,Enterprise,Furniture,Desk,2,232.45,464.9,188.33,276.56999999999994,PRJ0047,RES00761,Developer,19.13,108.86,2082.49,Overdue,2024-11-24,True,PO57921,0.0,0.0
ORD000018,2023-05-11,CUST01366,Central,SMB,Furniture,Chair,5,1240.31,6201.55,2684.74,3516.8100000000004,PRJ0103,RES00124,Consultant,2.68,233.7,626.32,Overdue,2023-05-26,False,,0.0,0.0
ORD000019,2024-10-23,CUST01785,South,SMB,Services,Consulting,7,1495.97,10471.79,5529.42,4942.370000000001,PRJ0486,RES00734,Developer,6.52,192.83,1257.25,Paid,2024-11-07,False,,0.0,0.0
ORD000020,2023-11-05,CUST01912,Central,SMB,Software,Antivirus,6,670.18,4021.08,3385.59,635.4899999999998,PRJ0218,RES00240,Developer,13.95,177.56,2476.96,Submitted,2023-11-20,False,,0.0,0.0
ORD000021,2023-12-10,CUST00385,North,SMB,Electronics,Laptop,2,1613.72,3227.44,1406.07,1821.3700000000001,PRJ0175,RES00859,Developer,3.44,118.0,405.92,Draft,,False,,0.0,0.0
